Date and Time,Rocket,Flight Number,Launch Country,Launch Site,LSP,Payload,Operator,Orbit,Function,Decay,Outcome,Remarks
7 January02:28,Athena II,,United States,Spaceport Florida LC-46,Lockheed Martin,Lunar Prospector,NASA,Selenocentric,Lunar orbiter,31 July 1999,Successful,"
Maiden flight of Athena II, first orbital launch from Spaceport Florida
"
10 January00:32,Delta II 7925-9.5,,United States,Cape Canaveral SLC-17B,Boeing IDS,Skynet 4D,MoD,Geosynchronous,Communications,In orbit,Operational
16 January03:25,Minuteman II,,United States,Vandenberg LF-03,US Air Force,MSLS IFT-2,US Air Force,Suborbital,ABM target,16 January,Successful
16 January03:46,Payload Launch Vehicle,,Marshall Islands,Meck Island,US Air Force/Orbital Sciences,EKV,US Air Force,Suborbital,ABM interceptor,16 January,Successful
22 January12:56,Shavit,,Israel,Palmachim,ISA,Ofeq-4,,Intended: Low Earth (retrograde),Reconnaissance,22 January,Launch Failure,"
Second stage failure
"
23 January02:48,Space Shuttle Endeavour,,United States,Kennedy LC-39A,United Space Alliance,"STS-89
SpaceHab Logistics Double Module","NASA
NASA/SpaceHab","Low Earth (Mir)
Low Earth (Endeavour)","Shuttle-Mir Program
Logistics","
Crewed orbital flight with seven astronauts
"
25 January08:35,S-310,,Japan,Uchinoura Pad K,ISAS,SEEK,ISAS,Suborbital,Ozone/Aeronomy research,25 January,Successful
26 January12:26,Nike Orion,,Sweden,Esrange,SSC,MERMAID,SSC/DLR,Suborbital,Microgravity research,26 January,Successful
29 January16:33,Soyuz-U,,Kazakhstan,Baikonur Site 1/5,Roskosmos,Soyuz TM-27,Roskosmos,Low Earth (Mir),Mir EO-25,25 August05:24,Successful,"
Crewed orbital flight with three cosmonauts
"
29 January18:37,Atlas IIA,,United States,Cape Canaveral SLC-36A,,USA-137 (SDS-3-1),NRO,Molniya,Communications,In orbit,Operational,"
NRO Launch 5
"
31 January04:30,S-520,,Japan,Uchinoura Pad K,ISAS,XUV Doppler Telescope,ISAS,Suborbital,Solar observation,31 January,Successful
31 January23:43,VS-30,,Norway,Andøya,INPE,AL-VS30-229,DLR,Suborbital,Aeronomy research,31 January,Successful
4 February23:29,Ariane 4 44LP,,France,Kourou ELA-2,Arianespace,"Brazilsat B3
Inmarsat 3F5","Embratel
Inmarsat","Geostationary
Geostationary","Communications
Communications","In orbit
In orbit","Operational
Operational"
5 February08:30,S-520,,Japan,Uchinoura Pad K,ISAS,,ISAS,Suborbital,Plasma research,5 February,Successful
7 February07:40,Skylark VII,,Sweden,Esrange Pad S,SSC,TEXUS 36,SSC,Suborbital,Microgravity research,7 February,Successful
10 February,Trident C-4,,United States,"Submarine, Eastern Range",US Navy,,US Navy,Suborbital,Missile test,10 February,Successful
10 February,Trident C-4,,United States,"Submarine, Eastern Range",US Navy,,US Navy,Suborbital,Missile test,10 February,Successful
10 February,Trident C-4,,United States,"Submarine, Eastern Range",US Navy,,US Navy,Suborbital,Missile test,10 February,Successful
10 February,Trident C-4,,United States,"Submarine, Eastern Range",US Navy,,US Navy,Suborbital,Missile test,10 February,Successful
10 February13:20,Taurus 2210,,United States,Vandenberg LC-576E,Orbital Sciences,"GFO
Orbcomm G1
Orbcomm G2
Celestis-02","US Navy
Orbcomm
Orbcomm
Celestis","Low Earth
Low Earth
Low Earth
Low Earth","Radar altimetry
Communications
Communications
Space burial","In orbit
In orbit
In orbit
In orbit","Operational
Operational
Operational
Successful"
11 February09:42,Nike-Orion,,Sweden,Esrange,DLR,Texus-5,DLR,Suborbital,Microgravity research,11 February,Successful
14 February14:34,Delta II 7420-10C,,United States,Cape Canaveral SLC-17A,Boeing IDS,"Globalstar 1
Globalstar 4
Globalstar 2
Globalstar 3","Globalstar
Globalstar
Globalstar
Globalstar","Low Earth
Low Earth
Low Earth
Low Earth","Communications
Communications
Communications
Communications","In orbit
In orbit
In orbit
In orbit","Operational
Operational
Operational
Operational","
Maiden flight of Delta II 7420
"
17 February10:34,Soyuz-U,,Kazakhstan,Baikonur Site 31/6,,Kosmos 2349 (Yantar),,Low Earth,Cartography,2 April,Successful
18 February13:58,Delta II 7920-10C,,United States,Vandenberg SLC-2W,Boeing IDS,"Iridium 52
Iridium 56
Iridium 54
Iridium 50
Iridium 53","Iridium
Iridium
Iridium
Iridium
Iridium","Low Earth
Low Earth
Low Earth
Low Earth
Low Earth","Communications
Communications
Communications
Communications
Communications","5 November 2018
11 October 2018
11 May 2019
23 September 2018
30 September 2018","Successful
Successful
Successful
Successful
Successful"
19 February,R-29,,Russia,"Submarine, Barents Sea",Russian Navy,,Russian Navy,Suborbital,Missile test,19 February,Successful
19 February,R-29,,Russia,"Submarine, Barents Sea",Russian Navy,,Russian Navy,Suborbital,Missile test,19 February,Successful
20 February00:09,Black Brant VC,,Puerto Rico,Arecibo,NASA,Coqui Dos SAL,NASA,Suborbital,Ionosphere research,20 February,Successful
