Date and Time,Rocket,Flight Number,Launch Country,Launch Site,LSP,Payload,Operator,Orbit,Function,Decay,Outcome,Remarks
12 January18:47:08,Delta II 7925,,United States,Cape Canaveral SLC-17B,Boeing IDS,"Deep Impact
Deep Impact impactor","NASA
NASA","Heliocentric
Heliocentric","Comet flyby
Comet impactor","In orbit
4 July05:52","Successful
Successful","
Visited 9P/Tempel. Impactor impacted comet to test composition, main probe subsequently reused for EPOXI mission to study extrasolar planets and conduct a flyby of comet 103P/Hartley. Stardust-NExT mission will fly past comet to inspect the crater caused by the impactor, as debris thrown up prevented Deep Impact from doing so.
"
18 January13:58:00,Super Loki,,Norway,Andøya,DLR,ROMA 2005 RWCH05,DLR,Suborbital,Weather,18 January,Successful
18 January16:07,Super Loki,,Norway,Andøya,DLR,ROMA 2005 RWCH08,DLR,Suborbital,Weather,18 January,Successful
18 January17:57,Super Loki,,Norway,Andøya,DLR,ROMA 2005 RWCH11,DLR,Suborbital,Weather,18 January,Successful
20 January03:00:07,Kosmos-3M,,Russia,Plesetsk Site 132/1,,"Kosmos 2414 (Parus)
Universitetsky-Tatyana (RS-23)",MGU,"Low Earth
Low Earth","Navigation
Technology","In orbit
In orbit","Operational
Successful","
Universitetsky-Tatyana ceased operations at around 21:00 UTC on 6 March 2007
"
20 January09:16,Super Loki,,Norway,Andøya,DLR,ROMA 2005 RWCH14,DLR,Suborbital,Weather,18 January,Successful
1 February,M45,,France,Biscarosse,French Navy,,French Navy,Suborbital,Missile test,1 February,Successful,"
Apogee: 800 kilometres (500 mi)
"
2 February20:57:00,Terrier-Orion,,United States,Barking Sands,NASA,,NAWC,Suborbital,Target,2 February,Successful,"
Apogee: 130 kilometres (81 mi)
"
3 February02:27:32,Proton-M/Briz-M,,Kazakhstan,Baikonur Site 81/24,International Launch Services,AMC-12 (WORLDSAT 2),SES Americom,Geosynchronous,Communication,In orbit,Operational
3 February07:41,Atlas IIIB,,United States,Cape Canaveral SLC-36B,International Launch Services,"USA-181 (NOSS-3 F3A)
USA-181 (NOSS-3 F3B)","NRO
NRO","Low Earth
Low Earth","ELINT
ELINT","In orbit
In orbit","Operational
Operational","
NRO Launch 23 ""Canis Minor"", final flight of Atlas IIIB
"
12 February21:03:01,Ariane 5ECA,,France,Kourou ELA-3,Arianespace,"XTAR-EUR
Maqsat-B2
Sloshsat-FLEVO","XTAR
Arianespace
SRON","Geosynchronous
Geosynchronous transfer
Geosynchronous transfer","Communication
Technology
Microgravity","In orbit
3 December 2012
In orbit","Operational
Successful
Successful","
Sloshsat-FLEVO deployed from Maqsat-B2
"
14 February06:22,UGM-27 Polaris (STARS),,United States,Kodiak,SMDC,IFT-14 Target,MDA,Suborbital,Target,14 February,Successful,"
Apogee: 1,000 kilometres (620 mi), interceptor launch cancelled
"
24 February21:03,Aries,,United States,Barking Sands,US Navy,FTM-04-1 Target,MDA,Suborbital,Target,24 February,Successful,"
Apogee: 150 kilometres (93 mi), interceped by SM-3
"
24 February21:04,RIM-161 Standard Missile 3,,United States,USS Lake Erie,MDA,FTM-04-1 Interceptor,MDA,Suborbital,Aegis test,24 February,Successful,"
""Stellar Dragon"", apogee: 150 kilometres (93 mi), interceped Aries
"
26 February09:25,H-IIA 2022,,Japan,Tanegashima LA-Y1,JAXA,Himawari 6 (MTSAT 1R),MLIT/JMA,Geosynchronous,ATC/Weather,In orbit,Operational,"
Maiden flight of H-IIA 2022
"
28 February19:09:18,Soyuz-U,,Kazakhstan,Baikonur Site 1/5,Roskosmos,"Progress M-52
TNS-0","Roskosmos
RNII KP","Low Earth (ISS)
Low Earth","Logistics
Technology","16 June00:02
30 August","Successful
Successful","
ISS flight 17P, TNS-0 deployed from the International Space Station at 08:30 UTC on 28 March, during an EVA
"
1 March03:50:59,Zenit-3SL,,Norway,Ocean Odyssey,Sea Launch,"XM-3 ""Rhythm""",XM,Geosynchronous,Communications,In orbit,Operational
1 March23:13:00,Terrier-Orion,,United States,Barking Sands,NASA,,NAWC,Suborbital,Target,1 March,Successful,"
Apogee: 130 kilometres (81 mi)
"
2 March04:00:14,UGM-133 Trident II D5,,United States,"USS Tennessee, ETR LP-5",US Navy,,US Navy,Suborbital,Missile test,2 March,Successful,"
Apogee: 1,000 kilometres (620 mi), FCET-33
"
2 March05:09:16,UGM-133 Trident II D5,,United States,"USS Tennessee, ETR LP-5",US Navy,,US Navy,Suborbital,Missile test,2 March,Successful,"
Apogee: 1,000 kilometres (620 mi), FCET-33
"
2 March21:11:00,Terrier-Orion,,United States,Barking Sands,NASA,,NAWC,Suborbital,Target,2 March,Successful,"
Apogee: 130 kilometres (81 mi)
"
2 March22:05:00,Terrier-Oriole,,United States,Barking Sands,NASA,,NAWC,Suborbital,Target,2 March,Successful,"
Apogee: 300 kilometres (190 mi)
"
6 March10:31:17,Black Brant XII,,United States,Poker Flat LC-4,NASA,CASCADES,Dartmouth,Intended: Suborbital,Auroral,6 March,Launch failure,"
Third stage failed to ignite, apogee: 29 kilometres (18 mi)
"
